Quarter,Type of personal insolvency administration,State,In a business or company,Number of people entering a new personal insolvency
2014Q3,Personal insolvency agreement,New South Wales,Yes,12
2014Q3,Personal insolvency agreement,Victoria,Yes,8
2014Q3,Personal insolvency agreement,Queensland,Yes,5
2014Q3,Personal insolvency agreement,South Australia,Yes,3
2014Q3,Personal insolvency agreement,Western Australia,Yes,3
2014Q3,Personal insolvency agreement,Tasmania,Yes,0
2014Q3,Personal insolvency agreement,Northern Territory,Yes,0
2014Q3,Personal insolvency agreement,Australian Capital Territory,Yes,0
2014Q3,Personal insolvency agreement,Other,Yes,0
2014Q4,Debtor's petition,New South Wales,Yes,408
2014Q4,Debtor's petition,Victoria,Yes,281
2014Q4,Debtor's petition,Queensland,Yes,428
2014Q4,Debtor's petition,South Australia,Yes,81
2014Q4,Debtor's petition,Western Australia,Yes,122
2014Q4,Debtor's petition,Tasmania,Yes,20
2014Q4,Debtor's petition,Northern Territory,Yes,9
2014Q4,Debtor's petition,Australian Capital Territory,Yes,10
2014Q4,Debtor's petition,Other,Yes,6
2014Q4,Sequestration order,New South Wales,Yes,78
2014Q4,Sequestration order,Victoria,Yes,72
2014Q4,Sequestration order,Queensland,Yes,54
2014Q4,Sequestration order,South Australia,Yes,13
2014Q4,Sequestration order,Western Australia,Yes,27
2014Q4,Sequestration order,Tasmania,Yes,4
2014Q4,Sequestration order,Northern Territory,Yes,1
2014Q4,Sequestration order,Australian Capital Territory,Yes,1
2014Q4,Sequestration order,Other,Yes,2
2014Q4,Total bankruptcies,New South Wales,Yes,486
2014Q4,Total bankruptcies,Victoria,Yes,353
2014Q4,Total bankruptcies,Queensland,Yes,482
2014Q4,Total bankruptcies,South Australia,Yes,94
2014Q4,Total bankruptcies,Western Australia,Yes,149
2014Q4,Total bankruptcies,Tasmania,Yes,24
2014Q4,Total bankruptcies,Northern Territory,Yes,10
2014Q4,Total bankruptcies,Australian Capital Territory,Yes,11
2014Q4,Total bankruptcies,Other,Yes,8
2014Q4,Deceased estate,New South Wales,Yes,0
2014Q4,Deceased estate,Victoria,Yes,0
2014Q4,Deceased estate,Queensland,Yes,0
2014Q4,Deceased estate,South Australia,Yes,0
2014Q4,Deceased estate,Western Australia,Yes,0
2014Q4,Deceased estate,Tasmania,Yes,0
2014Q4,Deceased estate,Northern Territory,Yes,0
2014Q4,Deceased estate,Australian Capital Territory,Yes,0
2014Q4,Deceased estate,Other,Yes,2
2014Q4,Debt agreement,New South Wales,Yes,60
2014Q4,Debt agreement,Victoria,Yes,44
2014Q4,Debt agreement,Queensland,Yes,55
2014Q4,Debt agreement,South Australia,Yes,11
2014Q4,Debt agreement,Western Australia,Yes,16
2014Q4,Debt agreement,Tasmania,Yes,9
2014Q4,Debt agreement,Northern Territory,Yes,1
2014Q4,Debt agreement,Australian Capital Territory,Yes,5
2014Q4,Debt agreement,Other,Yes,1
2014Q4,Personal insolvency agreement,New South Wales,Yes,9
2014Q4,Personal insolvency agreement,Victoria,Yes,11
2014Q4,Personal insolvency agreement,Queensland,Yes,12
2014Q4,Personal insolvency agreement,South Australia,Yes,8
2014Q4,Personal insolvency agreement,Western Australia,Yes,0
2014Q4,Personal insolvency agreement,Tasmania,Yes,2
2014Q4,Personal insolvency agreement,Northern Territory,Yes,0
2014Q4,Personal insolvency agreement,Australian Capital Territory,Yes,0
2014Q4,Personal insolvency agreement,Other,Yes,0
2015Q1,Debtor's petition,New South Wales,Yes,383
2015Q1,Debtor's petition,Victoria,Yes,336
2015Q1,Debtor's petition,Queensland,Yes,453
2015Q1,Debtor's petition,South Australia,Yes,88
2015Q1,Debtor's petition,Western Australia,Yes,137
2015Q1,Debtor's petition,Tasmania,Yes,30
2015Q1,Debtor's petition,Northern Territory,Yes,10
2015Q1,Debtor's petition,Australian Capital Territory,Yes,21
2015Q1,Debtor's petition,Other,Yes,8
2015Q1,Sequestration order,New South Wales,Yes,81
2015Q1,Sequestration order,Victoria,Yes,77
2015Q1,Sequestration order,Queensland,Yes,74
2015Q1,Sequestration order,South Australia,Yes,19
2015Q1,Sequestration order,Western Australia,Yes,15
2015Q1,Sequestration order,Tasmania,Yes,2
2015Q1,Sequestration order,Northern Territory,Yes,1
2015Q1,Sequestration order,Australian Capital Territory,Yes,0
2015Q1,Sequestration order,Other,Yes,1
2015Q1,Total bankruptcies,New South Wales,Yes,464
2015Q1,Total bankruptcies,Victoria,Yes,413
2015Q1,Total bankruptcies,Queensland,Yes,527
2015Q1,Total bankruptcies,South Australia,Yes,107
2015Q1,Total bankruptcies,Western Australia,Yes,152
2015Q1,Total bankruptcies,Tasmania,Yes,32
2015Q1,Total bankruptcies,Northern Territory,Yes,11
2015Q1,Total bankruptcies,Australian Capital Territory,Yes,21
2015Q1,Total bankruptcies,Other,Yes,9
2015Q1,Deceased estate,New South Wales,Yes,0
2015Q1,Deceased estate,Victoria,Yes,0
2015Q1,Deceased estate,Queensland,Yes,0
2015Q1,Deceased estate,South Australia,Yes,0
2015Q1,Deceased estate,Western Australia,Yes,0
2015Q1,Deceased estate,Tasmania,Yes,0
2015Q1,Deceased estate,Northern Territory,Yes,0
2015Q1,Deceased estate,Australian Capital Territory,Yes,0
2015Q1,Deceased estate,Other,Yes,3
2015Q1,Debt agreement,New South Wales,Yes,54
2015Q1,Debt agreement,Victoria,Yes,32
2015Q1,Debt agreement,Queensland,Yes,62
2015Q1,Debt agreement,South Australia,Yes,4
2015Q1,Debt agreement,Western Australia,Yes,14
2015Q1,Debt agreement,Tasmania,Yes,5
2015Q1,Debt agreement,Northern Territory,Yes,0
2015Q1,Debt agreement,Australian Capital Territory,Yes,2
2015Q1,Debt agreement,Other,Yes,1
2015Q1,Personal insolvency agreement,New South Wales,Yes,5
2015Q1,Personal insolvency agreement,Victoria,Yes,7
2015Q1,Personal insolvency agreement,Queensland,Yes,8
2015Q1,Personal insolvency agreement,South Australia,Yes,3
2015Q1,Personal insolvency agreement,Western Australia,Yes,7
2015Q1,Personal insolvency agreement,Tasmania,Yes,0
2015Q1,Personal insolvency agreement,Northern Territory,Yes,0
2015Q1,Personal insolvency agreement,Australian Capital Territory,Yes,0
2015Q1,Personal insolvency agreement,Other,Yes,0
2015Q2,Debtor's petition,New South Wales,Yes,438
2015Q2,Debtor's petition,Victoria,Yes,304
2015Q2,Debtor's petition,Queensland,Yes,499
2015Q2,Debtor's petition,South Australia,Yes,78
2015Q2,Debtor's petition,Western Australia,Yes,158
2015Q2,Debtor's petition,Tasmania,Yes,35
2015Q2,Debtor's petition,Northern Territory,Yes,10
2015Q2,Debtor's petition,Australian Capital Territory,Yes,23
2015Q2,Debtor's petition,Other,Yes,12
2015Q2,Sequestration order,New South Wales,Yes,79
2015Q2,Sequestration order,Victoria,Yes,66
2015Q2,Sequestration order,Queensland,Yes,76
2015Q2,Sequestration order,South Australia,Yes,13
2015Q2,Sequestration order,Western Australia,Yes,23
2015Q2,Sequestration order,Tasmania,Yes,1
2015Q2,Sequestration order,Northern Territory,Yes,1
2015Q2,Sequestration order,Australian Capital Territory,Yes,0
2015Q2,Sequestration order,Other,Yes,2
2015Q2,Total bankruptcies,New South Wales,Yes,517
2015Q2,Total bankruptcies,Victoria,Yes,370
2015Q2,Total bankruptcies,Queensland,Yes,575
2015Q2,Total bankruptcies,South Australia,Yes,91
2015Q2,Total bankruptcies,Western Australia,Yes,181
2015Q2,Total bankruptcies,Tasmania,Yes,36
2015Q2,Total bankruptcies,Northern Territory,Yes,11
2015Q2,Total bankruptcies,Australian Capital Territory,Yes,23
2015Q2,Total bankruptcies,Other,Yes,14
2015Q2,Deceased estate,New South Wales,Yes,0
2015Q2,Deceased estate,Victoria,Yes,0
2015Q2,Deceased estate,Queensland,Yes,0
2015Q2,Deceased estate,South Australia,Yes,0
2015Q2,Deceased estate,Western Australia,Yes,0
2015Q2,Deceased estate,Tasmania,Yes,0
2015Q2,Deceased estate,Northern Territory,Yes,0
2015Q2,Deceased estate,Australian Capital Territory,Yes,0
2015Q2,Deceased estate,Other,Yes,2
2015Q2,Debt agreement,New South Wales,Yes,42
2015Q2,Debt agreement,Victoria,Yes,38
2015Q2,Debt agreement,Queensland,Yes,51
2015Q2,Debt agreement,South Australia,Yes,4
2015Q2,Debt agreement,Western Australia,Yes,22
2015Q2,Debt agreement,Tasmania,Yes,6
2015Q2,Debt agreement,Northern Territory,Yes,0
2015Q2,Debt agreement,Australian Capital Territory,Yes,2
2015Q2,Debt agreement,Other,Yes,0
2015Q2,Personal insolvency agreement,New South Wales,Yes,7
2015Q2,Personal insolvency agreement,Victoria,Yes,10
2015Q2,Personal insolvency agreement,Queensland,Yes,7
2015Q2,Personal insolvency agreement,South Australia,Yes,2
2015Q2,Personal insolvency agreement,Western Australia,Yes,3
2015Q2,Personal insolvency agreement,Tasmania,Yes,0
2015Q2,Personal insolvency agreement,Northern Territory,Yes,0
2015Q2,Personal insolvency agreement,Australian Capital Territory,Yes,0
2015Q2,Personal insolvency agreement,Other,Yes,2
2015Q3,Debtor's petition,New South Wales,Yes,446
2015Q3,Debtor's petition,Victoria,Yes,295
2015Q3,Debtor's petition,Queensland,Yes,517
2015Q3,Debtor's petition,South Australia,Yes,77
2015Q3,Debtor's petition,Western Australia,Yes,179
2015Q3,Debtor's petition,Tasmania,Yes,25
2015Q3,Debtor's petition,Northern Territory,Yes,8
2015Q3,Debtor's petition,Australian Capital Territory,Yes,16
2015Q3,Debtor's petition,Other,Yes,7
2015Q3,Sequestration order,New South Wales,Yes,76
2015Q3,Sequestration order,Victoria,Yes,83
2015Q3,Sequestration order,Queensland,Yes,73
2015Q3,Sequestration order,South Australia,Yes,17
2015Q3,Sequestration order,Western Australia,Yes,31
2015Q3,Sequestration order,Tasmania,Yes,9
2015Q3,Sequestration order,Northern Territory,Yes,0
2015Q3,Sequestration order,Australian Capital Territory,Yes,4
2015Q3,Sequestration order,Other,Yes,2
2015Q3,Total bankruptcies,New South Wales,Yes,522
2015Q3,Total bankruptcies,Victoria,Yes,378
2015Q3,Total bankruptcies,Queensland,Yes,590
2015Q3,Total bankruptcies,South Australia,Yes,94
2015Q3,Total bankruptcies,Western Australia,Yes,210
2015Q3,Total bankruptcies,Tasmania,Yes,34
2015Q3,Total bankruptcies,Northern Territory,Yes,8
2015Q3,Total bankruptcies,Australian Capital Territory,Yes,20
2015Q3,Total bankruptcies,Other,Yes,9
2015Q3,Deceased estate,New South Wales,Yes,0
2015Q3,Deceased estate,Victoria,Yes,0
2015Q3,Deceased estate,Queensland,Yes,0
2015Q3,Deceased estate,South Australia,Yes,0
2015Q3,Deceased estate,Western Australia,Yes,0
2015Q3,Deceased estate,Tasmania,Yes,0
2015Q3,Deceased estate,Northern Territory,Yes,0
2015Q3,Deceased estate,Australian Capital Territory,Yes,0
2015Q3,Deceased estate,Other,Yes,1
2015Q3,Debt agreement,New South Wales,Yes,62
2015Q3,Debt agreement,Victoria,Yes,34
2015Q3,Debt agreement,Queensland,Yes,53
2015Q3,Debt agreement,South Australia,Yes,8
2015Q3,Debt agreement,Western Australia,Yes,20
2015Q3,Debt agreement,Tasmania,Yes,3
2015Q3,Debt agreement,Northern Territory,Yes,0
2015Q3,Debt agreement,Australian Capital Territory,Yes,2
2015Q3,Debt agreement,Other,Yes,1
2015Q3,Personal insolvency agreement,New South Wales,Yes,8
2015Q3,Personal insolvency agreement,Victoria,Yes,10
2015Q3,Personal insolvency agreement,Queensland,Yes,8
2015Q3,Personal insolvency agreement,South Australia,Yes,1
2015Q3,Personal insolvency agreement,Western Australia,Yes,8
2015Q3,Personal insolvency agreement,Tasmania,Yes,1
2015Q3,Personal insolvency agreement,Northern Territory,Yes,0
2015Q3,Personal insolvency agreement,Australian Capital Territory,Yes,0
2015Q3,Personal insolvency agreement,Other,Yes,0
2015Q4,Debtor's petition,New South Wales,Yes,346
2015Q4,Debtor's petition,Victoria,Yes,310
2015Q4,Debtor's petition,Queensland,Yes,508
2015Q4,Debtor's petition,South Australia,Yes,81
2015Q4,Debtor's petition,Western Australia,Yes,167
2015Q4,Debtor's petition,Tasmania,Yes,25
2015Q4,Debtor's petition,Northern Territory,Yes,9
2015Q4,Debtor's petition,Australian Capital Territory,Yes,9
2015Q4,Debtor's petition,Other,Yes,12
2015Q4,Sequestration order,New South Wales,Yes,71
2015Q4,Sequestration order,Victoria,Yes,68
2015Q4,Sequestration order,Queensland,Yes,83
2015Q4,Sequestration order,South Australia,Yes,25
2015Q4,Sequestration order,Western Australia,Yes,46
2015Q4,Sequestration order,Tasmania,Yes,7
2015Q4,Sequestration order,Northern Territory,Yes,4
2015Q4,Sequestration order,Australian Capital Territory,Yes,2
2015Q4,Sequestration order,Other,Yes,2
2015Q4,Total bankruptcies,New South Wales,Yes,417
2015Q4,Total bankruptcies,Victoria,Yes,378
2015Q4,Total bankruptcies,Queensland,Yes,591
2015Q4,Total bankruptcies,South Australia,Yes,106
2015Q4,Total bankruptcies,Western Australia,Yes,213
2015Q4,Total bankruptcies,Tasmania,Yes,32
2015Q4,Total bankruptcies,Northern Territory,Yes,13
2015Q4,Total bankruptcies,Australian Capital Territory,Yes,11
2015Q4,Total bankruptcies,Other,Yes,14
2015Q4,Deceased estate,New South Wales,Yes,0
2015Q4,Deceased estate,Victoria,Yes,0
2015Q4,Deceased estate,Queensland,Yes,0
2015Q4,Deceased estate,South Australia,Yes,0
2015Q4,Deceased estate,Western Australia,Yes,0
2015Q4,Deceased estate,Tasmania,Yes,0
2015Q4,Deceased estate,Northern Territory,Yes,0
2015Q4,Deceased estate,Australian Capital Territory,Yes,0
2015Q4,Deceased estate,Other,Yes,3
2015Q4,Debt agreement,New South Wales,Yes,47
2015Q4,Debt agreement,Victoria,Yes,47
2015Q4,Debt agreement,Queensland,Yes,68
2015Q4,Debt agreement,South Australia,Yes,8
2015Q4,Debt agreement,Western Australia,Yes,24
2015Q4,Debt agreement,Tasmania,Yes,4
2015Q4,Debt agreement,Northern Territory,Yes,6
2015Q4,Debt agreement,Australian Capital Territory,Yes,0
2015Q4,Debt agreement,Other,Yes,0
2015Q4,Personal insolvency agreement,New South Wales,Yes,9
2015Q4,Personal insolvency agreement,Victoria,Yes,6
2015Q4,Personal insolvency agreement,Queensland,Yes,7
2015Q4,Personal insolvency agreement,South Australia,Yes,1
2015Q4,Personal insolvency agreement,Western Australia,Yes,4
2015Q4,Personal insolvency agreement,Tasmania,Yes,1
2015Q4,Personal insolvency agreement,Northern Territory,Yes,0
2015Q4,Personal insolvency agreement,Australian Capital Territory,Yes,0
2015Q4,Personal insolvency agreement,Other,Yes,0
2016Q1,Debtor's petition,New South Wales,Yes,338
2016Q1,Debtor's petition,Victoria,Yes,255
2016Q1,Debtor's petition,Queensland,Yes,454
2016Q1,Debtor's petition,South Australia,Yes,88
2016Q1,Debtor's petition,Western Australia,Yes,141
2016Q1,Debtor's petition,Tasmania,Yes,26
2016Q1,Debtor's petition,Northern Territory,Yes,7
2016Q1,Debtor's petition,Australian Capital Territory,Yes,11
2016Q1,Debtor's petition,Other,Yes,4
2016Q1,Sequestration order,New South Wales,Yes,91
2016Q1,Sequestration order,Victoria,Yes,71
2016Q1,Sequestration order,Queensland,Yes,94
2016Q1,Sequestration order,South Australia,Yes,16
2016Q1,Sequestration order,Western Australia,Yes,47
2016Q1,Sequestration order,Tasmania,Yes,4
2016Q1,Sequestration order,Northern Territory,Yes,3
2016Q1,Sequestration order,Australian Capital Territory,Yes,1
2016Q1,Sequestration order,Other,Yes,3
2016Q1,Total bankruptcies,New South Wales,Yes,429
2016Q1,Total bankruptcies,Victoria,Yes,326
2016Q1,Total bankruptcies,Queensland,Yes,548
2016Q1,Total bankruptcies,South Australia,Yes,104
2016Q1,Total bankruptcies,Western Australia,Yes,188
2016Q1,Total bankruptcies,Tasmania,Yes,30
2016Q1,Total bankruptcies,Northern Territory,Yes,10
2016Q1,Total bankruptcies,Australian Capital Territory,Yes,12
2016Q1,Total bankruptcies,Other,Yes,7
2016Q1,Deceased estate,New South Wales,Yes,0
2016Q1,Deceased estate,Victoria,Yes,0
2016Q1,Deceased estate,Queensland,Yes,0
2016Q1,Deceased estate,South Australia,Yes,0
2016Q1,Deceased estate,Western Australia,Yes,0
2016Q1,Deceased estate,Tasmania,Yes,0
2016Q1,Deceased estate,Northern Territory,Yes,0
2016Q1,Deceased estate,Australian Capital Territory,Yes,0
2016Q1,Deceased estate,Other,Yes,2
2016Q1,Debt agreement,New South Wales,Yes,45
2016Q1,Debt agreement,Victoria,Yes,45
2016Q1,Debt agreement,Queensland,Yes,63
2016Q1,Debt agreement,South Australia,Yes,5
2016Q1,Debt agreement,Western Australia,Yes,24
2016Q1,Debt agreement,Tasmania,Yes,2
2016Q1,Debt agreement,Northern Territory,Yes,2
2016Q1,Debt agreement,Australian Capital Territory,Yes,1
2016Q1,Debt agreement,Other,Yes,0
2016Q1,Personal insolvency agreement,New South Wales,Yes,4
2016Q1,Personal insolvency agreement,Victoria,Yes,6
2016Q1,Personal insolvency agreement,Queensland,Yes,8
2016Q1,Personal insolvency agreement,South Australia,Yes,0
2016Q1,Personal insolvency agreement,Western Australia,Yes,2
2016Q1,Personal insolvency agreement,Tasmania,Yes,0
2016Q1,Personal insolvency agreement,Northern Territory,Yes,0
2016Q1,Personal insolvency agreement,Australian Capital Territory,Yes,0
2016Q1,Personal insolvency agreement,Other,Yes,0
2016Q2,Debtor's petition,New South Wales,Yes,392
2016Q2,Debtor's petition,Victoria,Yes,290
2016Q2,Debtor's petition,Queensland,Yes,505
2016Q2,Debtor's petition,South Australia,Yes,87
2016Q2,Debtor's petition,Western Australia,Yes,197
2016Q2,Debtor's petition,Tasmania,Yes,33
2016Q2,Debtor's petition,Northern Territory,Yes,9
2016Q2,Debtor's petition,Australian Capital Territory,Yes,14
2016Q2,Debtor's petition,Other,Yes,4
2016Q2,Sequestration order,New South Wales,Yes,90
2016Q2,Sequestration order,Victoria,Yes,81
2016Q2,Sequestration order,Queensland,Yes,93
2016Q2,Sequestration order,South Australia,Yes,19
2016Q2,Sequestration order,Western Australia,Yes,49
2016Q2,Sequestration order,Tasmania,Yes,7
2016Q2,Sequestration order,Northern Territory,Yes,0
2016Q2,Sequestration order,Australian Capital Territory,Yes,5
2016Q2,Sequestration order,Other,Yes,1
2016Q2,Total bankruptcies,New South Wales,Yes,482
2016Q2,Total bankruptcies,Victoria,Yes,371
2016Q2,Total bankruptcies,Queensland,Yes,598
2016Q2,Total bankruptcies,South Australia,Yes,106
2016Q2,Total bankruptcies,Western Australia,Yes,246
2016Q2,Total bankruptcies,Tasmania,Yes,40
2016Q2,Total bankruptcies,Northern Territory,Yes,9
2016Q2,Total bankruptcies,Australian Capital Territory,Yes,19
2016Q2,Total bankruptcies,Other,Yes,5
2016Q2,Deceased estate,New South Wales,Yes,0
2016Q2,Deceased estate,Victoria,Yes,0
2016Q2,Deceased estate,Queensland,Yes,0
2016Q2,Deceased estate,South Australia,Yes,0
2016Q2,Deceased estate,Western Australia,Yes,0
2016Q2,Deceased estate,Tasmania,Yes,0
2016Q2,Deceased estate,Northern Territory,Yes,0
2016Q2,Deceased estate,Australian Capital Territory,Yes,0
2016Q2,Deceased estate,Other,Yes,5
2016Q2,Debt agreement,New South Wales,Yes,58
2016Q2,Debt agreement,Victoria,Yes,41
2016Q2,Debt agreement,Queensland,Yes,66
2016Q2,Debt agreement,South Australia,Yes,7
2016Q2,Debt agreement,Western Australia,Yes,31
2016Q2,Debt agreement,Tasmania,Yes,1
2016Q2,Debt agreement,Northern Territory,Yes,0
2016Q2,Debt agreement,Australian Capital Territory,Yes,2
2016Q2,Debt agreement,Other,Yes,0
2016Q2,Personal insolvency agreement,New South Wales,Yes,10
2016Q2,Personal insolvency agreement,Victoria,Yes,8
2016Q2,Personal insolvency agreement,Queensland,Yes,5
2016Q2,Personal insolvency agreement,South Australia,Yes,1
2016Q2,Personal insolvency agreement,Western Australia,Yes,4
2016Q2,Personal insolvency agreement,Tasmania,Yes,2
2016Q2,Personal insolvency agreement,Northern Territory,Yes,0
2016Q2,Personal insolvency agreement,Australian Capital Territory,Yes,0
2016Q2,Personal insolvency agreement,Other,Yes,1
2016Q3,Debtor's petition,New South Wales,Yes,347
2016Q3,Debtor's petition,Victoria,Yes,286
2016Q3,Debtor's petition,Queensland,Yes,488
2016Q3,Debtor's petition,South Australia,Yes,75
2016Q3,Debtor's petition,Western Australia,Yes,200
2016Q3,Debtor's petition,Tasmania,Yes,33
2016Q3,Debtor's petition,Northern Territory,Yes,12
2016Q3,Debtor's petition,Australian Capital Territory,Yes,16
2016Q3,Debtor's petition,Other,Yes,13
2016Q3,Sequestration order,New South Wales,Yes,91
2016Q3,Sequestration order,Victoria,Yes,76
2016Q3,Sequestration order,Queensland,Yes,72
