Quarter,Type of personal insolvency administration,State,In a business or company,Number of people entering a new personal insolvency
2008Q4,Deceased estate,Australian Capital Territory,Yes,0
2008Q4,Deceased estate,Other,Yes,2
2008Q4,Debt agreement,New South Wales,Yes,34
2008Q4,Debt agreement,Victoria,Yes,22
2008Q4,Debt agreement,Queensland,Yes,25
2008Q4,Debt agreement,South Australia,Yes,2
2008Q4,Debt agreement,Western Australia,Yes,8
2008Q4,Debt agreement,Tasmania,Yes,3
2008Q4,Debt agreement,Northern Territory,Yes,1
2008Q4,Debt agreement,Australian Capital Territory,Yes,1
2008Q4,Debt agreement,Other,Yes,0
2008Q4,Personal insolvency agreement,New South Wales,Yes,15
2008Q4,Personal insolvency agreement,Victoria,Yes,32
2008Q4,Personal insolvency agreement,Queensland,Yes,10
2008Q4,Personal insolvency agreement,South Australia,Yes,4
2008Q4,Personal insolvency agreement,Western Australia,Yes,7
2008Q4,Personal insolvency agreement,Tasmania,Yes,2
2008Q4,Personal insolvency agreement,Northern Territory,Yes,0
2008Q4,Personal insolvency agreement,Australian Capital Territory,Yes,0
2008Q4,Personal insolvency agreement,Other,Yes,0
2009Q1,Debtor's petition,New South Wales,Yes,849
2009Q1,Debtor's petition,Victoria,Yes,454
2009Q1,Debtor's petition,Queensland,Yes,519
2009Q1,Debtor's petition,South Australia,Yes,85
2009Q1,Debtor's petition,Western Australia,Yes,149
2009Q1,Debtor's petition,Tasmania,Yes,36
2009Q1,Debtor's petition,Northern Territory,Yes,7
2009Q1,Debtor's petition,Australian Capital Territory,Yes,24
2009Q1,Debtor's petition,Other,Yes,13
2009Q1,Sequestration order,New South Wales,Yes,135
2009Q1,Sequestration order,Victoria,Yes,87
2009Q1,Sequestration order,Queensland,Yes,51
2009Q1,Sequestration order,South Australia,Yes,17
2009Q1,Sequestration order,Western Australia,Yes,9
2009Q1,Sequestration order,Tasmania,Yes,0
2009Q1,Sequestration order,Northern Territory,Yes,1
2009Q1,Sequestration order,Australian Capital Territory,Yes,3
2009Q1,Sequestration order,Other,Yes,1
2009Q1,Total bankruptcies,New South Wales,Yes,984
2009Q1,Total bankruptcies,Victoria,Yes,541
2009Q1,Total bankruptcies,Queensland,Yes,570
2009Q1,Total bankruptcies,South Australia,Yes,102
2009Q1,Total bankruptcies,Western Australia,Yes,158
2009Q1,Total bankruptcies,Tasmania,Yes,36
