Quarter,Type of personal insolvency administration,State,In a business or company,Number of people entering a new personal insolvency,,
Mar-08,Sequestration order,Western Australia,No,8,,
Mar-08,Sequestration order,Tasmania,No,1,,
Mar-08,Sequestration order,Northern Territory,No,2,,
Mar-08,Sequestration order,Australian Capital Territory,No,3,,
Mar-08,Sequestration order,Other,No,9,,
Mar-08,Sequestration order,Total,No,193,,
Mar-08,Sequestration order,New South Wales,Total,220,,
Mar-08,Sequestration order,Victoria,Total,125,,
Mar-08,Sequestration order,Queensland,Total,82,,
Mar-08,Sequestration order,South Australia,Total,27,,
Mar-08,Sequestration order,Western Australia,Total,27,,
Mar-08,Sequestration order,Tasmania,Total,3,,
Mar-08,Sequestration order,Northern Territory,Total,5,,
Mar-08,Sequestration order,Australian Capital Territory,Total,4,,
Mar-08,Sequestration order,Other,Total,10,,
Mar-08,Sequestration order,Total,Total,503,,
Mar-08,Total bankruptcies,New South Wales,Yes,722,,
Mar-08,Total bankruptcies,Victoria,Yes,422,,
Mar-08,Total bankruptcies,Queensland,Yes,406,,
Mar-08,Total bankruptcies,South Australia,Yes,113,,
Mar-08,Total bankruptcies,Western Australia,Yes,130,,
Mar-08,Total bankruptcies,Tasmania,Yes,33,,
Mar-08,Total bankruptcies,Northern Territory,Yes,12,,
Mar-08,Total bankruptcies,Australian Capital Territory,Yes,16,,
Mar-08,Total bankruptcies,Other,Yes,7,,
Mar-08,Total bankruptcies,Total,Yes,1861,,
Mar-08,Total bankruptcies,New South Wales,No,1660,,
Mar-08,Total bankruptcies,Victoria,No,902,,
Mar-08,Total bankruptcies,Queensland,No,1010,,
Mar-08,Total bankruptcies,South Australia,No,427,,
Mar-08,Total bankruptcies,Western Australia,No,263,,
Mar-08,Total bankruptcies,Tasmania,No,128,,
Mar-08,Total bankruptcies,Northern Territory,No,20,,
Mar-08,Total bankruptcies,Australian Capital Territory,No,44,,
Mar-08,Total bankruptcies,Other,No,19,,
Mar-08,Total bankruptcies,Total,No,4473,,
Mar-08,Total bankruptcies,New South Wales,Total,2382,,
Mar-08,Total bankruptcies,Victoria,Total,1324,,
Mar-08,Total bankruptcies,Queensland,Total,1416,,
Mar-08,Total bankruptcies,South Australia,Total,540,,
Mar-08,Total bankruptcies,Western Australia,Total,393,,
Mar-08,Total bankruptcies,Tasmania,Total,161,,
Mar-08,Total bankruptcies,Northern Territory,Total,32,,
Mar-08,Total bankruptcies,Australian Capital Territory,Total,60,,
Mar-08,Total bankruptcies,Other,Total,26,,
