Quarter,Type of personal insolvency administration,State,In a business or company,Number of people entering a new personal insolvency,,
Mar-08,Total bankruptcies,Total,Total,6334,,
Mar-08,Deceased estate,New South Wales,Yes,0,,
Mar-08,Deceased estate,Victoria,Yes,0,,
Mar-08,Deceased estate,Queensland,Yes,0,,
Mar-08,Deceased estate,South Australia,Yes,0,,
Mar-08,Deceased estate,Western Australia,Yes,0,,
Mar-08,Deceased estate,Tasmania,Yes,0,,
Mar-08,Deceased estate,Northern Territory,Yes,0,,
Mar-08,Deceased estate,Australian Capital Territory,Yes,0,,
Mar-08,Deceased estate,Other,Yes,0,,
Mar-08,Deceased estate,Total,Yes,0,,
Mar-08,Deceased estate,New South Wales,No,0,,
Mar-08,Deceased estate,Victoria,No,0,,
Mar-08,Deceased estate,Queensland,No,0,,
Mar-08,Deceased estate,South Australia,No,0,,
Mar-08,Deceased estate,Western Australia,No,0,,
Mar-08,Deceased estate,Tasmania,No,0,,
Mar-08,Deceased estate,Northern Territory,No,0,,
Mar-08,Deceased estate,Australian Capital Territory,No,0,,
Mar-08,Deceased estate,Other,No,3,,
Mar-08,Deceased estate,Total,No,3,,
Mar-08,Deceased estate,New South Wales,Total,0,,
Mar-08,Deceased estate,Victoria,Total,0,,
Mar-08,Deceased estate,Queensland,Total,0,,
Mar-08,Deceased estate,South Australia,Total,0,,
Mar-08,Deceased estate,Western Australia,Total,0,,
Mar-08,Deceased estate,Tasmania,Total,0,,
Mar-08,Deceased estate,Northern Territory,Total,0,,
Mar-08,Deceased estate,Australian Capital Territory,Total,0,,
Mar-08,Deceased estate,Other,Total,3,,
Mar-08,Deceased estate,Total,Total,3,,
Mar-08,Debt agreement,New South Wales,Yes,17,,
Mar-08,Debt agreement,Victoria,Yes,23,,
Mar-08,Debt agreement,Queensland,Yes,10,,
Mar-08,Debt agreement,South Australia,Yes,1,,
Mar-08,Debt agreement,Western Australia,Yes,3,,
Mar-08,Debt agreement,Tasmania,Yes,2,,
Mar-08,Debt agreement,Northern Territory,Yes,0,,
Mar-08,Debt agreement,Australian Capital Territory,Yes,1,,
Mar-08,Debt agreement,Other,Yes,0,,
Mar-08,Debt agreement,Total,Yes,57,,
Mar-08,Debt agreement,New South Wales,No,487,,
Mar-08,Debt agreement,Victoria,No,387,,
Mar-08,Debt agreement,Queensland,No,385,,
Mar-08,Debt agreement,South Australia,No,54,,
Mar-08,Debt agreement,Western Australia,No,70,,
Mar-08,Debt agreement,Tasmania,No,34,,
Mar-08,Debt agreement,Northern Territory,No,15,,
Mar-08,Debt agreement,Australian Capital Territory,No,15,,
Mar-08,Debt agreement,Other,No,0,,
Mar-08,Debt agreement,Total,No,1447,,
Mar-08,Debt agreement,New South Wales,Total,504,,
Mar-08,Debt agreement,Victoria,Total,410,,
Mar-08,Debt agreement,Queensland,Total,395,,
Mar-08,Debt agreement,South Australia,Total,55,,
Mar-08,Debt agreement,Western Australia,Total,73,,
Mar-08,Debt agreement,Tasmania,Total,36,,
Mar-08,Debt agreement,Northern Territory,Total,15,,
Mar-08,Debt agreement,Australian Capital Territory,Total,16,,
Mar-08,Debt agreement,Other,Total,0,,
Mar-08,Debt agreement,Total,Total,1504,,
Mar-08,Personal insolvency agreement,New South Wales,Yes,8,,
Mar-08,Personal insolvency agreement,Victoria,Yes,25,,
Mar-08,Personal insolvency agreement,Queensland,Yes,4,,
Mar-08,Personal insolvency agreement,South Australia,Yes,1,,
Mar-08,Personal insolvency agreement,Western Australia,Yes,6,,
Mar-08,Personal insolvency agreement,Tasmania,Yes,1,,
Mar-08,Personal insolvency agreement,Northern Territory,Yes,0,,
Mar-08,Personal insolvency agreement,Australian Capital Territory,Yes,0,,
Mar-08,Personal insolvency agreement,Other,Yes,0,,
Mar-08,Personal insolvency agreement,Total,Yes,45,,
Mar-08,Personal insolvency agreement,New South Wales,No,7,,
Mar-08,Personal insolvency agreement,Victoria,No,32,,
Mar-08,Personal insolvency agreement,Queensland,No,2,,
Mar-08,Personal insolvency agreement,South Australia,No,0,,
Mar-08,Personal insolvency agreement,Western Australia,No,1,,
Mar-08,Personal insolvency agreement,Tasmania,No,0,,
Mar-08,Personal insolvency agreement,Northern Territory,No,0,,
Mar-08,Personal insolvency agreement,Australian Capital Territory,No,1,,
Mar-08,Personal insolvency agreement,Other,No,1,,
Mar-08,Personal insolvency agreement,Total,No,44,,
Mar-08,Personal insolvency agreement,New South Wales,Total,15,,
Mar-08,Personal insolvency agreement,Victoria,Total,57,,
Mar-08,Personal insolvency agreement,Queensland,Total,6,,
Mar-08,Personal insolvency agreement,South Australia,Total,1,,
Mar-08,Personal insolvency agreement,Western Australia,Total,7,,
Mar-08,Personal insolvency agreement,Tasmania,Total,1,,
Mar-08,Personal insolvency agreement,Northern Territory,Total,0,,
Mar-08,Personal insolvency agreement,Australian Capital Territory,Total,1,,
Mar-08,Personal insolvency agreement,Other,Total,1,,
Mar-08,Personal insolvency agreement,Total,Total,89,,
Mar-08,Total personal insolvencies,New South Wales,Yes,747,,
Mar-08,Total personal insolvencies,Victoria,Yes,470,,
Mar-08,Total personal insolvencies,Queensland,Yes,420,,
Mar-08,Total personal insolvencies,South Australia,Yes,115,,
Mar-08,Total personal insolvencies,Western Australia,Yes,139,,
Mar-08,Total personal insolvencies,Tasmania,Yes,36,,
Mar-08,Total personal insolvencies,Northern Territory,Yes,12,,
Mar-08,Total personal insolvencies,Australian Capital Territory,Yes,17,,
Mar-08,Total personal insolvencies,Other,Yes,7,,
Mar-08,Total personal insolvencies,Total,Yes,1963,,
Mar-08,Total personal insolvencies,New South Wales,No,2154,,
Mar-08,Total personal insolvencies,Victoria,No,1321,,
Mar-08,Total personal insolvencies,Queensland,No,1397,,
Mar-08,Total personal insolvencies,South Australia,No,481,,
Mar-08,Total personal insolvencies,Western Australia,No,334,,
Mar-08,Total personal insolvencies,Tasmania,No,162,,
Mar-08,Total personal insolvencies,Northern Territory,No,35,,
Mar-08,Total personal insolvencies,Australian Capital Territory,No,60,,
Mar-08,Total personal insolvencies,Other,No,23,,
Mar-08,Total personal insolvencies,Total,No,5967,,
Mar-08,Total personal insolvencies,New South Wales,Total,2901,,
Mar-08,Total personal insolvencies,Victoria,Total,1791,,
Mar-08,Total personal insolvencies,Queensland,Total,1817,,
Mar-08,Total personal insolvencies,South Australia,Total,596,,
Mar-08,Total personal insolvencies,Western Australia,Total,473,,
Mar-08,Total personal insolvencies,Tasmania,Total,198,,
Mar-08,Total personal insolvencies,Northern Territory,Total,47,,
Mar-08,Total personal insolvencies,Australian Capital Territory,Total,77,,
Mar-08,Total personal insolvencies,Other,Total,30,,
Mar-08,Total personal insolvencies,Total,Total,7930,,
Jun-08,Debtor's petition,New South Wales,Yes,823,,
Jun-08,Debtor's petition,Victoria,Yes,445,,
Jun-08,Debtor's petition,Queensland,Yes,410,,
Jun-08,Debtor's petition,South Australia,Yes,97,,
Jun-08,Debtor's petition,Western Australia,Yes,124,,
Jun-08,Debtor's petition,Tasmania,Yes,38,,
Jun-08,Debtor's petition,Northern Territory,Yes,11,,
Jun-08,Debtor's petition,Australian Capital Territory,Yes,13,,
Jun-08,Debtor's petition,Other,Yes,6,,
Jun-08,Debtor's petition,Total,Yes,1967,,
Jun-08,Debtor's petition,New South Wales,No,1691,,
Jun-08,Debtor's petition,Victoria,No,934,,
Jun-08,Debtor's petition,Queensland,No,1009,,
Jun-08,Debtor's petition,South Australia,No,423,,
Jun-08,Debtor's petition,Western Australia,No,235,,
Jun-08,Debtor's petition,Tasmania,No,171,,
Jun-08,Debtor's petition,Northern Territory,No,25,,
Jun-08,Debtor's petition,Australian Capital Territory,No,26,,
Jun-08,Debtor's petition,Other,No,22,,
Jun-08,Debtor's petition,Total,No,4536,,
Jun-08,Debtor's petition,New South Wales,Total,2514,,
Jun-08,Debtor's petition,Victoria,Total,1379,,
Jun-08,Debtor's petition,Queensland,Total,1419,,
Jun-08,Debtor's petition,South Australia,Total,520,,
Jun-08,Debtor's petition,Western Australia,Total,359,,
Jun-08,Debtor's petition,Tasmania,Total,209,,
Jun-08,Debtor's petition,Northern Territory,Total,36,,
Jun-08,Debtor's petition,Australian Capital Territory,Total,39,,
Jun-08,Debtor's petition,Other,Total,28,,
Jun-08,Debtor's petition,Total,Total,6503,,
Jun-08,Sequestration order,New South Wales,Yes,162,,
Jun-08,Sequestration order,Victoria,Yes,109,,
Jun-08,Sequestration order,Queensland,Yes,60,,
Jun-08,Sequestration order,South Australia,Yes,23,,
Jun-08,Sequestration order,Western Australia,Yes,11,,
Jun-08,Sequestration order,Tasmania,Yes,3,,
Jun-08,Sequestration order,Northern Territory,Yes,1,,
Jun-08,Sequestration order,Australian Capital Territory,Yes,2,,
Jun-08,Sequestration order,Other,Yes,7,,
Jun-08,Sequestration order,Total,Yes,378,,
Jun-08,Sequestration order,New South Wales,No,107,,
Jun-08,Sequestration order,Victoria,No,72,,
Jun-08,Sequestration order,Queensland,No,32,,
Jun-08,Sequestration order,South Australia,No,12,,
Jun-08,Sequestration order,Western Australia,No,10,,
Jun-08,Sequestration order,Tasmania,No,1,,
Jun-08,Sequestration order,Northern Territory,No,0,,
Jun-08,Sequestration order,Australian Capital Territory,No,3,,
Jun-08,Sequestration order,Other,No,3,,
Jun-08,Sequestration order,Total,No,240,,
Jun-08,Sequestration order,New South Wales,Total,269,,
Jun-08,Sequestration order,Victoria,Total,181,,
Jun-08,Sequestration order,Queensland,Total,92,,
Jun-08,Sequestration order,South Australia,Total,35,,
Jun-08,Sequestration order,Western Australia,Total,21,,
Jun-08,Sequestration order,Tasmania,Total,4,,
Jun-08,Sequestration order,Northern Territory,Total,1,,
Jun-08,Sequestration order,Australian Capital Territory,Total,5,,
Jun-08,Sequestration order,Other,Total,10,,
Jun-08,Sequestration order,Total,Total,618,,
Jun-08,Total bankruptcies,New South Wales,Yes,985,,
Jun-08,Total bankruptcies,Victoria,Yes,554,,
Jun-08,Total bankruptcies,Queensland,Yes,470,,
Jun-08,Total bankruptcies,South Australia,Yes,120,,
Jun-08,Total bankruptcies,Western Australia,Yes,135,,
Jun-08,Total bankruptcies,Tasmania,Yes,41,,
Jun-08,Total bankruptcies,Northern Territory,Yes,12,,
Jun-08,Total bankruptcies,Australian Capital Territory,Yes,15,,
Jun-08,Total bankruptcies,Other,Yes,13,,
Jun-08,Total bankruptcies,Total,Yes,2345,,
Jun-08,Total bankruptcies,New South Wales,No,1798,,
Jun-08,Total bankruptcies,Victoria,No,1006,,
Jun-08,Total bankruptcies,Queensland,No,1041,,
Jun-08,Total bankruptcies,South Australia,No,435,,
Jun-08,Total bankruptcies,Western Australia,No,245,,
Jun-08,Total bankruptcies,Tasmania,No,172,,
Jun-08,Total bankruptcies,Northern Territory,No,25,,
Jun-08,Total bankruptcies,Australian Capital Territory,No,29,,
Jun-08,Total bankruptcies,Other,No,25,,
Jun-08,Total bankruptcies,Total,No,4776,,
Jun-08,Total bankruptcies,New South Wales,Total,2783,,
Jun-08,Total bankruptcies,Victoria,Total,1560,,
Jun-08,Total bankruptcies,Queensland,Total,1511,,
Jun-08,Total bankruptcies,South Australia,Total,555,,
Jun-08,Total bankruptcies,Western Australia,Total,380,,
Jun-08,Total bankruptcies,Tasmania,Total,213,,
Jun-08,Total bankruptcies,Northern Territory,Total,37,,
Jun-08,Total bankruptcies,Australian Capital Territory,Total,44,,
Jun-08,Total bankruptcies,Other,Total,38,,
Jun-08,Total bankruptcies,Total,Total,7121,,
Jun-08,Deceased estate,New South Wales,Yes,0,,
Jun-08,Deceased estate,Victoria,Yes,0,,
Jun-08,Deceased estate,Queensland,Yes,0,,
Jun-08,Deceased estate,South Australia,Yes,0,,
Jun-08,Deceased estate,Western Australia,Yes,0,,
Jun-08,Deceased estate,Tasmania,Yes,0,,
Jun-08,Deceased estate,Northern Territory,Yes,0,,
Jun-08,Deceased estate,Australian Capital Territory,Yes,0,,
Jun-08,Deceased estate,Other,Yes,1,,
Jun-08,Deceased estate,Total,Yes,1,,
Jun-08,Deceased estate,New South Wales,No,0,,
Jun-08,Deceased estate,Victoria,No,0,,
Jun-08,Deceased estate,Queensland,No,0,,
Jun-08,Deceased estate,South Australia,No,0,,
Jun-08,Deceased estate,Western Australia,No,0,,
Jun-08,Deceased estate,Tasmania,No,0,,
Jun-08,Deceased estate,Northern Territory,No,0,,
Jun-08,Deceased estate,Australian Capital Territory,No,0,,
Jun-08,Deceased estate,Other,No,1,,
Jun-08,Deceased estate,Total,No,1,,
Jun-08,Deceased estate,New South Wales,Total,0,,
Jun-08,Deceased estate,Victoria,Total,0,,
Jun-08,Deceased estate,Queensland,Total,0,,
Jun-08,Deceased estate,South Australia,Total,0,,
Jun-08,Deceased estate,Western Australia,Total,0,,
Jun-08,Deceased estate,Tasmania,Total,0,,
Jun-08,Deceased estate,Northern Territory,Total,0,,
Jun-08,Deceased estate,Australian Capital Territory,Total,0,,
Jun-08,Deceased estate,Other,Total,2,,
Jun-08,Deceased estate,Total,Total,2,,
Jun-08,Debt agreement,New South Wales,Yes,25,,
Jun-08,Debt agreement,Victoria,Yes,16,,
Jun-08,Debt agreement,Queensland,Yes,14,,
Jun-08,Debt agreement,South Australia,Yes,0,,
Jun-08,Debt agreement,Western Australia,Yes,3,,
Jun-08,Debt agreement,Tasmania,Yes,1,,
Jun-08,Debt agreement,Northern Territory,Yes,0,,
Jun-08,Debt agreement,Australian Capital Territory,Yes,0,,
Jun-08,Debt agreement,Other,Yes,0,,
Jun-08,Debt agreement,Total,Yes,59,,
Jun-08,Debt agreement,New South Wales,No,691,,
Jun-08,Debt agreement,Victoria,No,540,,
Jun-08,Debt agreement,Queensland,No,448,,
Jun-08,Debt agreement,South Australia,No,78,,
Jun-08,Debt agreement,Western Australia,No,118,,
Jun-08,Debt agreement,Tasmania,No,54,,
Jun-08,Debt agreement,Northern Territory,No,25,,
Jun-08,Debt agreement,Australian Capital Territory,No,28,,
Jun-08,Debt agreement,Other,No,1,,
Jun-08,Debt agreement,Total,No,1983,,
Jun-08,Debt agreement,New South Wales,Total,716,,
Jun-08,Debt agreement,Victoria,Total,556,,
Jun-08,Debt agreement,Queensland,Total,462,,
Jun-08,Debt agreement,South Australia,Total,78,,
Jun-08,Debt agreement,Western Australia,Total,121,,
Jun-08,Debt agreement,Tasmania,Total,55,,
Jun-08,Debt agreement,Northern Territory,Total,25,,
Jun-08,Debt agreement,Australian Capital Territory,Total,28,,
Jun-08,Debt agreement,Other,Total,1,,
Jun-08,Debt agreement,Total,Total,2042,,
Jun-08,Personal insolvency agreement,New South Wales,Yes,14,,
Jun-08,Personal insolvency agreement,Victoria,Yes,38,,
Jun-08,Personal insolvency agreement,Queensland,Yes,13,,
Jun-08,Personal insolvency agreement,South Australia,Yes,3,,
Jun-08,Personal insolvency agreement,Western Australia,Yes,10,,
Jun-08,Personal insolvency agreement,Tasmania,Yes,1,,
Jun-08,Personal insolvency agreement,Northern Territory,Yes,0,,
Jun-08,Personal insolvency agreement,Australian Capital Territory,Yes,0,,
Jun-08,Personal insolvency agreement,Other,Yes,0,,
Jun-08,Personal insolvency agreement,Total,Yes,79,,
Jun-08,Personal insolvency agreement,New South Wales,No,12,,
Jun-08,Personal insolvency agreement,Victoria,No,49,,
Jun-08,Personal insolvency agreement,Queensland,No,6,,
Jun-08,Personal insolvency agreement,South Australia,No,2,,
Jun-08,Personal insolvency agreement,Western Australia,No,0,,
Jun-08,Personal insolvency agreement,Tasmania,No,0,,
Jun-08,Personal insolvency agreement,Northern Territory,No,0,,
Jun-08,Personal insolvency agreement,Australian Capital Territory,No,0,,
Jun-08,Personal insolvency agreement,Other,No,0,,
Jun-08,Personal insolvency agreement,Total,No,69,,
Jun-08,Personal insolvency agreement,New South Wales,Total,26,,
Jun-08,Personal insolvency agreement,Victoria,Total,87,,
Jun-08,Personal insolvency agreement,Queensland,Total,19,,
Jun-08,Personal insolvency agreement,South Australia,Total,5,,
Jun-08,Personal insolvency agreement,Western Australia,Total,10,,
Jun-08,Personal insolvency agreement,Tasmania,Total,1,,
Jun-08,Personal insolvency agreement,Northern Territory,Total,0,,
Jun-08,Personal insolvency agreement,Australian Capital Territory,Total,0,,
Jun-08,Personal insolvency agreement,Other,Total,0,,
Jun-08,Personal insolvency agreement,Total,Total,148,,
Jun-08,Total personal insolvencies,New South Wales,Yes,1024,,
Jun-08,Total personal insolvencies,Victoria,Yes,608,,
Jun-08,Total personal insolvencies,Queensland,Yes,497,,
Jun-08,Total personal insolvencies,South Australia,Yes,123,,
Jun-08,Total personal insolvencies,Western Australia,Yes,148,,
Jun-08,Total personal insolvencies,Tasmania,Yes,43,,
Jun-08,Total personal insolvencies,Northern Territory,Yes,12,,
Jun-08,Total personal insolvencies,Australian Capital Territory,Yes,15,,
Jun-08,Total personal insolvencies,Other,Yes,14,,
Jun-08,Total personal insolvencies,Total,Yes,2484,,
Jun-08,Total personal insolvencies,New South Wales,No,2501,,
Jun-08,Total personal insolvencies,Victoria,No,1595,,
Jun-08,Total personal insolvencies,Queensland,No,1495,,
Jun-08,Total personal insolvencies,South Australia,No,515,,
Jun-08,Total personal insolvencies,Western Australia,No,363,,
Jun-08,Total personal insolvencies,Tasmania,No,226,,
Jun-08,Total personal insolvencies,Northern Territory,No,50,,
Jun-08,Total personal insolvencies,Australian Capital Territory,No,57,,
Jun-08,Total personal insolvencies,Other,No,27,,
Jun-08,Total personal insolvencies,Total,No,6829,,
Jun-08,Total personal insolvencies,New South Wales,Total,3525,,
Jun-08,Total personal insolvencies,Victoria,Total,2203,,
Jun-08,Total personal insolvencies,Queensland,Total,1992,,
Jun-08,Total personal insolvencies,South Australia,Total,638,,
Jun-08,Total personal insolvencies,Western Australia,Total,511,,
Jun-08,Total personal insolvencies,Tasmania,Total,269,,
Jun-08,Total personal insolvencies,Northern Territory,Total,62,,
Jun-08,Total personal insolvencies,Australian Capital Territory,Total,72,,
Jun-08,Total personal insolvencies,Other,Total,41,,
Jun-08,Total personal insolvencies,Total,Total,9313,,
Sep-08,Debtor's petition,New South Wales,Yes,785,,
Sep-08,Debtor's petition,Victoria,Yes,388,,
Sep-08,Debtor's petition,Queensland,Yes,423,,
Sep-08,Debtor's petition,South Australia,Yes,110,,
Sep-08,Debtor's petition,Western Australia,Yes,109,,
Sep-08,Debtor's petition,Tasmania,Yes,52,,
Sep-08,Debtor's petition,Northern Territory,Yes,8,,
Sep-08,Debtor's petition,Australian Capital Territory,Yes,20,,
Sep-08,Debtor's petition,Other,Yes,21,,
Sep-08,Debtor's petition,Total,Yes,1916,,
Sep-08,Debtor's petition,New South Wales,No,1595,,
Sep-08,Debtor's petition,Victoria,No,872,,
Sep-08,Debtor's petition,Queensland,No,896,,
Sep-08,Debtor's petition,South Australia,No,382,,
Sep-08,Debtor's petition,Western Australia,No,247,,
Sep-08,Debtor's petition,Tasmania,No,138,,
Sep-08,Debtor's petition,Northern Territory,No,12,,
Sep-08,Debtor's petition,Australian Capital Territory,No,32,,
Sep-08,Debtor's petition,Other,No,15,,
Sep-08,Debtor's petition,Total,No,4189,,
Sep-08,Debtor's petition,New South Wales,Total,2380,,
